job_id	extension_id	method	coefficient_type	number	timing_user	timing_system	timing_elapsed
63996936	55b52	edgeR	Cont	4	435.766	2.814	234.667
63996936	55b52	DESeq2	Cont	4	382.752	11.206	329.831
63996936	55b52	glm_gp overdispersion = 0	Cont	5	97.863	1.232	51.247
63996936	55b52	glm_gp	Cont	5	148.047	1.779	94.706
63996936	55b52	glm_gp on disk	Cont	5	182.15	3.522	130.795
63996936	55b52	DESeq2 with glmGamPoi	Cont	5	190.965	4.347	163.766
63996936	55b52	edgeR	Cont	5	469.776	2.964	255.372
63996936	55b52	DESeq2	Cont	5	458.065	17.048	378.032
63996936	55b52	glm_gp overdispersion = 0	Cont	6	111.912	1.658	58.511
63996936	55b52	glm_gp	Cont	6	173.825	2.388	110.622
63996936	55b52	glm_gp on disk	Cont	6	207.278	4.56	146.983
63996936	55b52	DESeq2 with glmGamPoi	Cont	6	212.362	5.294	178.287
63996936	55b52	edgeR	Cont	6	521.344	3.039	285.193
63996936	55b52	DESeq2	Cont	6	556.832	22.429	438.534
63996936	55b52	glm_gp overdispersion = 0	Cont	7	135.151	1.933	70.276
63996936	55b52	glm_gp	Cont	7	208.104	2.848	133.633
63996936	55b52	glm_gp on disk	Cont	7	241.401	4.369	169.233
63996936	55b52	DESeq2 with glmGamPoi	Cont	7	238.484	5.337	198.005
63996936	55b52	edgeR	Cont	7	546.654	2.935	301.478
63996936	55b52	DESeq2	Cont	7	695.6	27.386	519.279
63996937	6d05d	glm_gp overdispersion = 0	Cat	1	6.262	0.657	6.813
63996937	6d05d	glm_gp	Cat	1	18.915	0.802	19.079
63996937	6d05d	glm_gp on disk	Cat	1	43.111	1.713	44.2
63996937	6d05d	DESeq2 with glmGamPoi	Cat	1	25.423	1.252	26.636
63996937	6d05d	edgeR	Cat	1	98.69	1.998	100.723
63996937	6d05d	DESeq2	Cat	1	219.028	3.042	222.034
63996937	6d05d	glm_gp overdispersion = 0	Cat	2	5.225	0.412	5.53
63996937	6d05d	glm_gp	Cat	2	19.514	0.726	19.618
63996937	6d05d	glm_gp on disk	Cat	2	50.433	1.71	51.503
63996937	6d05d	DESeq2 with glmGamPoi	Cat	2	38.743	2.516	41.15
63996937	6d05d	edgeR	Cat	2	142.277	1.247	102.25
63996937	6d05d	DESeq2	Cat	2	239.371	2.87	242.171
63996937	6d05d	glm_gp overdispersion = 0	Cat	3	5.089	0.49	5.479
63996937	6d05d	glm_gp	Cat	3	22.54	0.605	22.749
63996937	6d05d	glm_gp on disk	Cat	3	59.235	1.953	60.759
63996937	6d05d	DESeq2 with glmGamPoi	Cat	3	58.689	2.248	46.677
63996937	6d05d	edgeR	Cat	3	143.47	1.58	102.432
